time,imbalance gamma=0J,imbalance gamma=0.1J,imbalance gamma=0.5J,imbalance gamma=1J,imbalance gamma=2J,imbalance gamma=5J
1.11,0.04963598820667063,0.07702569220537152,0.16331326031145543,0.2354338697125653,0.3180092571375466,0.4077904181901211
1.12,0.044120811030607755,0.07199840337902634,0.15968598422575994,0.2328060276199993,0.31633196313474604,0.40696735428878106
1.1300000000000001,0.03863708888270042,0.06700161283892273,0.15608315719799515,0.23019506725128713,0.3146625606430944,0.40614595075206
1.1400000000000001,0.03318629575601139,0.06203654248108912,0.15250533395581975,0.22760117535135338,0.31300105616620194,0.405326204321535
1.1500000000000001,0.027769892222891942,0.05710439890823258,0.14895305441093237,0.225024529548646,0.31134745408160364,0.40450811173560325
1.16,0.022389324975979955,0.052206373102428365,0.14542684369628514,0.22246529853040428,0.3097017567371,0.40369166973073817
1.17,0.01704602637436663,0.04734364010426875,0.14192721220774265,0.2199236422165945,0.3080639645433326,0.4028768750421498
1.18,0.011741413995085772,0.04251735869856051,0.13845465565011336,0.21739971193240742,0.30643407606263895,0.4020637244047647
1.19,0.006476890190075317,0.03772867110665126,0.13500965508743545,0.2148936505793822,0.30481208809452415,0.4012522145538264
1.2,0.001253841648761576,0.03297870268546898,0.13159267699752525,0.21240559280506913,0.3031979957577316,0.4004423422255674
1.21,-0.003926361033588217,0.028268561633352736,0.12820417333061077,0.20993566517096857,0.3015917925690811,0.3996341041578546
1.22,-0.009062363781599076,0.023599338702751046,0.12484458157202268,0.20748398631909104,0.29999347051920183,0.3988274970905394
1.23,-0.01415282945946455,0.018972106919861082,0.12151432480885382,0.20505066713703643,0.2984030201452325,0.3980225177661414
1.24,-0.019196438284425937,0.014387921311280118,0.11821381180049786,0.2026358109214591,0.29682043060047003,0.3972191629300345
1.25,-0.024191888233916894,0.009847818637737133,0.11494343705299115,0.20023951354000055,0.29524568972141746,0.3964174293309851
1.26,-0.029137895446236864,0.00535281713496968,0.11170358089701447,0.19786186359154279,0.2936787840920844,0.39561731372142717
1.27,-0.03403319461461926,0.0009039162618093955,0.10849460956956902,0.19550294256450326,0.2921196991057532,0.3948188128576742
1.28,-0.03887653937456451,-0.003497903544464451,0.10531687529920873,0.193162824993878,0.29056841902420805,0.39402192350035803
1.29,-0.04366670268430932,-0.007851681105445905,0.10217071639471598,0.1908415786164532,0.2890249270343626,0.3932266424144857
1.3,-0.04840247719830416,-0.012156474731542672,0.09905645733717983,0.18853926452442393,0.28748920530282523,0.3924329663697353
1.31,-0.05308267563357835,-0.01641136244448643,0.09597440887538143,0.18625593731729329,0.2859612350282061,0.3916408921406904
1.32,-0.05770613112886985,-0.020615442192361635,0.09292486812439893,0.18399164525166542,0.2844409964913475,0.3908504165068599
1.33,-0.062271697596401276,-0.02476783205710812,0.08990811866726776,0.1817464303895993,0.28292846910322567,0.39006153625295575
1.34,-0.06677825006618786,-0.02886767045445405,0.08692443065975336,0.17952032874522134,0.28142363145098737,0.3892742481690118
1.35,-0.07122468502276368,-0.032914116326238634,0.08397406093810998,0.17731337042962156,0.2799264613422103,0.3884885490503928
1.36,-0.07560992073421606,-0.03690634932508712,0.08105725312969946,0.17512557979399587,0.27843693584738344,0.3877044356980107
1.37,-0.07993289757341955,-0.040843569991401346,0.07817423776644285,0.17295697557056325,0.2769550313402991,0.3869219049184047
1.3800000000000001,-0.08419257833136873,-0.04472499992263656,0.07532523240100465,0.17080757101203062,0.2754807235368544,0.38614095352372574
1.3900000000000001,-0.08838794852250254,-0.04854988193484125,0.07251044172560323,0.16867737402928837,0.2740139875324355,0.3853615783319001
1.4000000000000001,-0.09251801668192686,-0.052317480216418216,0.06973005769325484,0.1665663873273745,0.27255479783774056,0.3845837761666938
1.41,-0.09658181465443559,-0.05602708047409477,0.06698425964168413,0.16447460853958623,0.2711031284126357,0.3838075438576891
1.42,-0.10057839787524028,-0.05967799007107916,0.06427321441954065,0.16240203035927858,0.26965895269892987,0.38303287824037635
1.43,-0.1045068456423149,-0.06326953815738393,0.06159707651497113,0.1603486406703906,0.26822224365191094,0.38225977615622764
1.44,-0.10836626138027328,-0.06680107579230335,0.05895598818644922,0.1583144226760712,0.26679297377025285,0.3814882344526913
1.45,-0.11215577289569195,-0.07027197605902992,0.0563500795957691,0.15629935502562822,0.26537111512446926,0.3807182499831897
1.46,-0.11587453262379886,-0.07368163417140257,0.05377946894297253,0.15430341193931232,0.26395663938461095,0.3799498196072144
