time,imbalance Delta=0.1J,imbalance Delta=0.3J,imbalance Delta=0.5J,imbalance Delta=3J,imbalance Delta=5J,imbalance Delta=10J
2.85,0.030951728374929943,0.02893812058583812,0.024046662047102194,-0.02739699160435366,-0.02014982518176868,-0.013718358438526658
2.9000000000000004,0.04730022945527203,0.04434960687804861,0.0376717644992497,-0.03317359536572646,-0.028378741028293852,-0.023269334238516657
2.95,0.06293944305676638,0.05906079912679914,0.05061942741921624,-0.038772904362582086,-0.03643246248621944,-0.03275940703802105
3.0,0.07773229555435193,0.07294474899921735,0.06278256265412652,-0.04422266159448908,-0.044329204031282765,-0.04216687779284192
3.0500000000000003,0.09155139583182773,0.08588450565939823,0.07406382081271386,-0.04954749432367664,-0.052087101857410806,-0.0514503082068839
3.1,0.10428018007249602,0.0977742086280705,0.0843765834691465,-0.05476801783510929,-0.05972180016532283,-0.060557680884935405
3.1500000000000004,0.11581374268939688,0.10851956081701442,0.09364564556909219,-0.05990036260009057,-0.06724433995794377,-0.06943889260317987
3.2,0.1260598404352249,0.11803877162710175,0.1018074005233214,-0.06495573137132159,-0.07465938993706411,-0.07805701802214167
3.25,0.13493945728504542,0.12626258333611964,0.10881000706435921,-0.06994023988566438,-0.08196426857686684,-0.08639575316984564
3.3000000000000003,0.1423872623099729,0.13313494208172577,0.11461373532204625,-0.07485488478467255,-0.08914855557976797,-0.09446084719088237
3.35,0.14835204703052016,0.13861352573512245,0.11919122480887133,-0.07969566725193152,-0.09619403424127347,-0.10227499815621593
3.4000000000000004,0.15279725071121072,0.14266973279475278,0.12252733653886713,-0.08445385543533192,-0.10307514131679857,-0.10986785078399318
3.45,0.1557009503241812,0.14528869426479785,0.12461895223822742,-0.08911622948989763,-0.10976015787786882,-0.11726358257577421
3.5,0.1570558359503357,0.14646918529800204,0.1254746929799922,-0.09366572606320578,-0.11621281093950958,-0.12446945188666876
3.5500000000000003,0.15686907442853112,0.1462233292332064,0.12511456720455497,-0.09808198662883957,-0.12239404492277162,-0.131468370903987
3.6,0.15516248876844665,0.14457639843241454,0.12356961515759268,-0.10234183783333958,-0.12826389858858842,-0.13821798704712523
3.6500000000000004,0.1519716092352552,0.14156641270572476,0.12088141979346563,-0.10642002154605762,-0.1337838055729424,-0.14465583933807488
3.7,0.1473452814957198,0.13724358976185252,0.11710139298179129,-0.11029006803563829,-0.13891873774294272,-0.15071029813638476
3.75,0.14134527907361835,0.1316697053274082,0.11229011271894289,-0.11392508582324007,-0.14363897247139487,-0.15631412049102297
3.8000000000000003,0.13404564624305904,0.12491725541425455,0.10651654176277359,-0.11729856639411813,-0.14792186295996423,-0.16141770674348335
3.85,0.12553164486502585,0.11706870034532642,0.09985713998846349,-0.12038508366937972,-0.15175289550019183,-0.16599864651260193
3.9000000000000004,0.11589893527745534,0.10821558353770627,0.09239500332310044,-0.12316124171912557,-0.15512637573984225,-0.170064508692829
3.95,0.10525258201634158,0.09845740450451575,0.08421891184663671,-0.12560639738014903,-0.15804542565307342,-0.173648273993351
