time,imbalance Delta=0.1J,imbalance Delta=0.3J,imbalance Delta=0.5J,imbalance Delta=3J,imbalance Delta=5J,imbalance Delta=10J
3.9000000000000004,0.11190055790745568,0.10237754782945449,0.08385885775642789,-0.04458880823596491,-0.055594874800027165,-0.06217826523979625
3.95,0.10122769279565391,0.09255427629521389,0.07553491773519812,-0.043532213344786796,-0.05366371139775493,-0.060017937546697854
4.0,0.08968876265221251,0.08198205772276902,0.06666632911210914,-0.04216259661021104,-0.05136454739096504,-0.05742159980976225
4.05,0.07740532519775596,0.07077507901597463,0.05735325884221574,-0.040499707243670094,-0.04873468595539989,-0.05443717585172771
4.1000000000000005,0.06450471875520625,0.05905177092708297,0.0476979827713498,-0.03856685275940745,-0.045810847972140925,-0.05109930836149329
4.15,0.05111872392111427,0.04693370801317211,0.03780377982787224,-0.036390383484817074,-0.042627393866786385,-0.04742495741412771
4.2,0.037382171135990204,0.03454443143124325,0.02777381567797141,-0.03399904646940742,-0.03921509171896487,-0.04341410378468974
4.25,0.023431713009444466,0.02200818912354403,0.01771018308063084,-0.03142336894548908,-0.035600139937062326,-0.03905523833584702
4.3,0.009404536732127461,0.009448710309464663,0.007713061106330856,-0.028695041321971128,-0.031803482474073795,-0.0343350323802664
4.3500000000000005,-0.004562998064251688,-0.0030118660000449477,-0.002120385608765262,-0.02584616391635286,-0.027841007738633024,-0.029249241837131075
4.4,-0.018336556189886933,-0.015254149212755554,-0.011696889720584473,-0.022908597372532907,-0.02372383282838882,-0.023812092443377758
4.45,-0.031785147883854906,-0.027162708510932193,-0.020927865959357004,-0.01991329888249218,-0.01945915905905666,-0.018061253991770568
4.5,-0.04478231254846047,-0.038627100804953074,-0.02973016386577505,-0.016889710478423654,-0.015051503690826265,-0.012057177630397847
4.55,-0.05720720739208236,-0.049542775594503666,-0.03802677091935975,-0.01386525379963361,-0.010504287526465808,-0.0058763205006103
4.6000000000000005,-0.06894572157748086,-0.05981206972411644,-0.04574738442760512,-0.010864775429533893,-0.005821510113203477,0.00039982488087543164
4.65,-0.07989148405157377,-0.06934498812106404,-0.05282904559541961,-0.00791021766512677,-0.001009433394685887,0.006697444341943671
4.7,-0.08994683748811369,-0.07805997827385927,-0.05921658062662783,-0.005020354654099326,0.003921726071963147,0.012961047400604967
4.75,-0.09902368209262778,-0.08588459956791457,-0.06486294516722473,-0.002210573807868408,0.00895639357433649,0.019159221490211112
4.800000000000001,-0.10704411853330584,-0.09275599499854871,-0.06972951900767971,0.0005071278880105484,0.01407264889624913,0.025284171568631178
4.8500000000000005,-0.11394112491763254,-0.09862137598962047,-0.07378621132309199,0.0031241286634519465,0.019241616943236256,0.0313443604802653
4.9,-0.11965925053383085,-0.1034384683294932,-0.07701166351663907,0.005634946600719612,0.02442763054422044,0.037352798651753595
4.95,-0.12415484386515889,-0.10717577041819953,-0.0793932484570891,0.008036964588155445,0.029588903699482687,0.04331398129964528
5.0,-0.12739642496772532,-0.10981273841171468,-0.08092695520976127,0.01033001103771701,0.034678702270404586,0.04921331852388266
5.050000000000001,-0.1293647852352433,-0.1113397124031167,-0.08161725783454345,0.012515945406943348,0.039647032020416334,0.05501213082732619
5.1000000000000005,-0.1300530912042552,-0.1117578910870249,-0.08147689776800304,0.014598085523487275,0.04444273920493164,0.0606499212769025
5.15,-0.1294669113411759,-0.11107920397625877,-0.08052655231537957,0.016580638841272827,0.04901585678735934,0.06605308206567105
5.2,-0.12762404402778307,-0.10932604638798207,-0.07879444717102975,0.01846814048124398,0.0533199613632141,0.0711478836590994
5.25,-0.12455417358306249,-0.10653091403359123,-0.07631594817098775,0.02026484963227257,0.057314305097318705,0.07587402637919108
5.300000000000001,-0.12029854641708214,-0.10273593006440161,-0.0731330708654153,0.021974303093052237,0.0609657458700972,0.0801949495390361
5.3500000000000005,-0.11490938823996286,-0.09799229331778898,-0.06929384809056424,0.023598856820971077,0.06425004653015567,0.0841021541917607
5.4,-0.10844935801866815,-0.09235970113550258,-0.06485175878069437,0.025139320702054734,0.06715266341014904,0.08761233636510482
5.45,-0.1009909041770224,-0.08590563282478021,-0.05986508422996244,0.026594738392334005,0.0696688575396457,0.09075828869267641
5.5,-0.09261539873468463,-0.0787045935975723,-0.05439625093960666,0.027962263700382853,0.07180307296458155,0.09357638154143856
5.550000000000001,-0.08341234618646287,-0.07083726160498752,-0.04851106962192663,0.02923714457445801,0.07356780529261434,0.09609412831298877
5.6000000000000005,-0.07347841747668742,-0.06238966989719622,-0.042278094739919496,0.030412859566271877,0.07498189662654792,0.09832140773991811
5.65,-0.0629164645462014,-0.05345233861265464,-0.0357677870265091,0.031481386915873905,0.07606857554362344,0.10024770448846891
5.7,-0.051834464933250037,-0.044119279567864086,-0.02905178199031553,0.03243350584864202,0.07685333313362616,0.10184577597556008
5.75,-0.040344474291333435,-0.03448700566711507,-0.022202143909362565,0.033259210883743534,0.0773619458484581,0.10308036436212235
5.800000000000001,-0.028561554404390586,-0.024653638458632256,-0.015290690316099243,0.03394826014650992,0.0776185594879618,0.10391931464009321
5.8500000000000005,-0.016602601306066663,-0.014717919666311348,-0.008388242488423238,0.03449069691920858,0.07764431856152022,0.10434374532119185
5.9,-0.004585185221475102,-0.00477822333752214,-0.0015639320434106653,0.034877374058358626,0.0774564173628678,0.10435442037534848
5.95,0.007373483768064154,0.0050684037338003946,0.005115433123081603,0.035100505628582704,0.07706773516205973,0.10397272567317525
6.0,0.019157781449044297,0.01472716338350371,0.011585996124701303,0.035154117483362,0.07648699264209582,0.10323656113922822
6.050000000000001,0.03065473549677917,0.024106391887953934,0.017787425328062847,0.03503448413269778,0.07571933310091788,0.10219223086769766
6.1000000000000005,0.0417551109811915,0.033118379549024544,0.023663443818222607,0.03474042138224854,0.0747672657136384,0.1008853542699899
6.15,0.05235439396992446,0.04168019824513463,0.029162274513941315,0.03427352072091106,0.07363189601802178,0.09935323551719312
6.2,0.062353740656292476,0.04971440502278356,0.03423708613475039,0.033638193361936096,0.07231421255270105,0.09762042199926743
6.25,0.07166091472461893,0.057149706611005206,0.03884635228149645,0.032841706762908686,0.07081625060626133,0.0956985115981074
6.300000000000001,0.08019111455448703,0.06392165826264086,0.04295417062964266,0.031894003508494216,0.06914208157911106,0.09358947532571693
6.3500000000000005,0.08786779022648974,0.0699732095982774,0.046530485469148807,0.030807455801813103,0.06729854640726424,0.09129140633548757
6.4,0.09462328817221384,0.07525509945138743,0.049551281554100615,0.02959646300319606,0.06529552986008755,0.088804209974495
6.45,0.10039936112935666,0.07972628127537736,0.05199864524437471,0.0282770018306999,0.06314591891924692,0.08613409157550914
6.5,0.10514779066222486,0.08335419782156202,0.05386085216246881,0.026866151324530744,0.06086519696487447,0.08329545622345846
6.550000000000001,0.10883069459214569,0.0861149684984887,0.05513232504751107,0.02538150022084284,0.05847077401091731,0.08031017860231157
6.6000000000000005,0.11142080059254389,0.08799349551799046,0.05581357829538247,0.023840655024361217,0.05598111009243833,0.0772048894925019
6.65,0.11290163820076107,0.0889835261437756,0.05591108931306618,0.02226068930941263,0.05341482003129501,0.0740074845784304
6.7,0.11326762007582883,0.08908756434086817,0.05543708688696064,0.020657623261064628,0.05078974676577145,0.07074398592060932
6.75,0.1125239880573493,0.08831677339021943,0.05440932234983759,0.01904601214205687,0.0481222925493284,0.06743657619843467
6.800000000000001,0.11068675343066098,0.08669072867924166,0.05285077303706245,0.017438596070976614,0.045426819744363356,0.06410275069348134
6.8500000000000005,0.1077823912877306,0.08423712248410377,0.05078927336772107,0.015846051514599124,0.0427154308233209,0.06075590348643249
6.9,0.10384752748490764,0.08099137628625624,0.048257139387936604,0.014276844547277836,0.039997971045800204,0.05740646536461478
